# ID,Label
2824840348,8
2823831289,214
2817908296,15
2700164839,88
4991174051,388
4973465880,372
4941939039,59
3844995191,388
5427195900,545
5427195482,546
5427194448,465
5427193868,465
5427193296,465
5427192940,465
5533983367,59
5472183006,59
5271193808,89
5268587988,89
5257857213,271
5111905273,59
5092351346,59
5062441586,59
5057634273,59
2151134859,505
2151918514,505
4022996704,52
5957997015,111
5958557032,111
2238952252,222
3079714514,285
1314831591,15
4468699849,503
632322410,1
630493321,1
630493259,1
5602423229,11
6506338655,77
2935048555,528
2935047443,528
2935032009,528
2935730772,528
2934851115,528
5605090299,426
5605089175,426
5605088451,468
5605669048,468
5589933047,429
5590521720,470
5590520256,470
5589928293,470
5589927301,470
5589926247,470
5589925519,470
6312440397,426
6003229226,375
5605673182,426
5605090893,426
3300625553,130
5605102839,468
5605683710,468
5605101005,427
5605682018,468
5605681384,468
5605678160,468
5605677036,468
5605676522,468
5605094059,468
5605674468,468
3167759995,0
3167468919,0
2154396497,239
2155190616,239
2155188448,239
2155186260,239
2155183398,239
2155180592,239
2155177490,239
2099176146,55
2098394629,55
2098391159,55
2099169800,55
6033629490,2
6036054419,1
6036046127,1
6036039517,1
6036035081,1
6036584838,1
6036022149,1
6034595983,1
6033114947,2
6033669242,2
6033103885,2
6033655740,2
6033091257,2
6033084109,2
6033634746,2
6033062787,2
6033594890,2
6033033509,2
6033029601,2
6033024367,2
6033014745,2
6033567730,2
6026360381,2
6026346897,2
6026337357,2
6026330761,2
6026318405,2
6026309775,2
6026303759,2
6026854276,2
6025552932,2
1387578278,64
1387605026,64
1387601822,64
1387598430,64
1386700569,64
1387591102,64
1386692407,64
1386688313,64
1343271628,115
1342383101,115
1343271040,115
1342382349,474
1342377037,505
1343261560,505
2730414194,282
2548804687,55
6949267677,545
5644247358,213
5678168028,45
5677608101,45
5678071716,44
5649858006,231
5649290147,44
5649285001,44
5649275441,44
5649832228,44
5649820286,44
5649815026,48
5646015953,45
5646011937,45
5643721415,431
5643720691,80
5644286720,251
5644286368,251
5643718747,251
5644248750,213
5644248112,213
5643680069,213
5643679429,213
5045416260,426
6480806259,101
3185262220,89
3185262212,89
6549642705,497
601117746,55
600713713,55
600647303,55
476801429,55
476761856,55
476783233,55
476782721,55
476766862,55
476778153,55
476763184,55
476762474,55
453086218,11
453102371,11
6652367343,195
6708905461,528
6679738951,195
6526458777,528
6553885841,545
6550554127,528
6550389915,528
6550077141,545
6549860085,538
6549699295,528
6518065297,195
6517878679,195
6517746471,195
6517613681,195
6517404883,195
6517283707,195
6510596697,195
5189758531,409
4730443269,445
4083349829,518
4083317319,300
4084038712,300
4083270273,300
3910071387,300
3910804808,300
3908675559,300
3909446832,300
3904446056,521
3903638781,521
3900685143,487
3901368778,514
6081566949,101
6066052276,101
5987172118,101
4341426756,57
4203429715,277
4198757588,277
4195227357,277
4095049928,57
4069106057,57
3247463856,429
3089498512,470
3088548599,470
3447130949,289
3447127435,289
3387907136,289
3387903694,289
3387901132,289
3387898506,289
3387087353,289
3387084073,289
4457100421,9
4443486468,9
4306852626,9
863707815,9
5655223186,423
3060332323,182
3542590834,328
3468404332,328
2313808181,328
5665765410,212
5665765398,212
2310259105,328
2126985936,328
2471802698,328
6219981912,341
5919594233,341
3349650356,537
3349649338,537
3348818817,537
2756937715,427
2756897837,52
2648474575,52
2649305026,52
2649275158,228
2648443297,228
2648443053,228
2648444147,228
5497002671,366
5486663159,236
5487257372,236
5474553903,236
4808973479,240
4693228490,61
3385960528,62
3217430975,363
3202783349,61
2451999425,234
3202772721,61
2874775791,63
2875469026,235
2874639331,235
2874634427,235
2875459680,235
2874629729,235
2875454568,235
2874625045,235
2874622875,235
2874620661,235
2874618607,235
2874614241,235
2874612107,235
1800197100,365
2752748569,63
2743054563,234
2742981815,234
2742980773,234
2742904459,235
2742903297,235
2701385833,234
2447043220,235
2447038462,235
2446210087,235
2424588811,235
2424588501,234
2425401520,234
2424579781,63
2424553531,63
2411059146,62
2410067165,62
2410885722,61
1800201908,365
1799350813,365
1800186480,365
1800177026,365
2223946904,236
4715232500,201
4292961183,201
4292782327,26
4292754939,201
6762147351,342
6744536599,461
6744533489,461
6744529205,461
6744530455,461
6744528037,461
6743776949,461
6731208155,59
6731198355,59
6731188597,59
6731175441,59
6731163097,59
6731153815,59
6820100605,10
6494906019,8
4414864408,278
4286106242,236
4286105778,236
4286104922,236
4285362811,236
4285362135,236
4285361265,236
4253707360,236
4774108326,212
4627172153,381
6217801565,330
6243482791,329
5799387526,244
5798837907,244
5798837413,244
5799385942,244
3241944316,387
3241107779,387
3241103949,387
3241099881,387
3241928620,387
3241924666,387
3241087917,387
3241084165,472
3241080455,472
3241909810,472
3241906086,472
3241902198,472
3241065811,472
3241062087,472
3241058169,472
3241887642,431
3241050533,431
3241046615,431
3241876406,431
3241039285,431
3241870114,431
3241866532,431
3241029185,431
3241858842,431
3241855218,431
3241019025,387
3241848654,387
3241011945,387
3241008629,387
3241838636,387
3179490138,223
3179490004,223
3178653203,223
3178653059,223
3179489776,223
3179480992,223
3178643347,223
3176600605,223
3177433694,223
3177433156,223
3176598469,223
3177431990,223
3176597163,223
3176596525,223
3177410974,223
3176576211,223
3176575645,223
3177409348,223
3177408762,223
3176574079,223
3177407754,223
3177407158,223
3177406586,223
3176571455,223
3176570395,223
3176569859,223
3176568393,223
3177402466,223
3176452674,223
3175618117,223
3175617983,223
3175617899,223
3176452086,223
3176451920,223
3175617547,223
3175617405,223
3176451598,223
3176448392,223
3175604523,223
5643301812,39
5602625073,57
5603208180,57
5522485390,57
5150921150,237
4313399009,366
4071203893,235
3359208483,367
3325231861,366
3309383221,367
3205648705,367
3173239941,366
5877317549,14
2294430560,150
2294426426,150
2294421794,150
2281898166,126
2281891262,126
2245157150,315
2245157072,315
2234662426,315
2216510633,508
2216510571,508
2217302204,508
2216510341,508
2217301908,508
2213844957,126
2214637910,126
2214637860,135
2214637744,135
2214599396,135
1288093566,170
1287239053,170
1288093060,170
1287225629,170
845197415,299
845190861,299
846044916,442
612618186,137
538855358,309
538843512,309
538840606,309
538954175,396
515913212,298
515937711,298
515937653,298
515913036,298
512200894,398
512199858,398
512237995,398
512236459,398
492783211,442
492774197,135
492741763,135
492739827,135
5916653893,465
5901740258,496
5901177573,493
